DATE,PCU32733132733106
2003-04-01,154.4
2003-05-01,154.4
2003-06-01,154.4
2003-07-01,154.4
2003-08-01,154.4
2003-09-01,154.4
2003-10-01,154.4
2003-11-01,154.4
2003-12-01,154.4
2004-01-01,154.4
2004-02-01,154.4
2004-03-01,154.4
2004-04-01,155.6
2004-05-01,155.6
2004-06-01,155.6
2004-07-01,155.6
2004-08-01,155.6
2004-09-01,155.6
2004-10-01,155.6
2004-11-01,155.6
2004-12-01,155.6
2005-01-01,156.0
2005-02-01,161.6
2005-03-01,159.2
2005-04-01,163.2
2005-05-01,163.2
2005-06-01,163.2
2005-07-01,163.2
2005-08-01,163.2
2005-09-01,163.2
2005-10-01,163.2
2005-11-01,163.2
2005-12-01,163.3
2006-01-01,167.4
2006-02-01,168.9
2006-03-01,168.9
2006-04-01,169.4
2006-05-01,169.4
2006-06-01,169.4
2006-07-01,169.4
2006-08-01,169.4
2006-09-01,169.4
2006-10-01,169.4
2006-11-01,169.4
2006-12-01,169.4
2007-01-01,173.4
2007-02-01,173.6
2007-03-01,175.7
2007-04-01,188.5
2007-05-01,188.5
2007-06-01,188.5
2007-07-01,188.5
2007-08-01,188.5
2007-09-01,188.5
2007-10-01,188.6
2007-11-01,188.6
2007-12-01,188.6
2008-01-01,189.0
2008-02-01,189.0
2008-03-01,189.0
2008-04-01,189.0
2008-05-01,188.3
2008-06-01,188.3
2008-07-01,188.7
2008-08-01,190.7
2008-09-01,191.2
2008-10-01,197.1
2008-11-01,197.1
2008-12-01,197.1
2009-01-01,197.1
2009-02-01,197.1
2009-03-01,197.1
2009-04-01,197.1
2009-05-01,197.0
2009-06-01,197.0
2009-07-01,197.0
2009-08-01,197.0
2009-09-01,197.0
2009-10-01,197.0
2009-11-01,197.0
2009-12-01,197.0
2010-01-01,196.5
2010-02-01,196.5
2010-03-01,196.5
2010-04-01,196.0
2010-05-01,196.0
2010-06-01,196.0
2010-07-01,196.0
2010-08-01,196.0
2010-09-01,196.0
2010-10-01,196.0
2010-11-01,196.0
2010-12-01,196.0
2011-01-01,196.0
2011-02-01,196.0
2011-03-01,196.0
2011-04-01,196.0
2011-05-01,198.8
2011-06-01,198.8
2011-07-01,198.8
2011-08-01,198.8
2011-09-01,198.8
2011-10-01,199.4
2011-11-01,199.4
2011-12-01,199.3
2012-01-01,199.3
2012-02-01,199.3
2012-03-01,199.3
2012-04-01,199.3
2012-05-01,200.8
2012-06-01,200.7
2012-07-01,200.7
2012-08-01,200.7
2012-09-01,200.7
2012-10-01,200.7
2012-11-01,200.7
2012-12-01,200.7
2013-01-01,201.4
2013-02-01,201.4
2013-03-01,201.4
2013-04-01,203.8
2013-05-01,203.8
2013-06-01,203.8
2013-07-01,203.8
2013-08-01,201.8
2013-09-01,201.8
2013-10-01,201.8
2013-11-01,201.8
2013-12-01,201.8
2014-01-01,207.0
2014-02-01,207.0
2014-03-01,207.0
2014-04-01,207.0
2014-05-01,207.0
2014-06-01,207.0
2014-07-01,207.0
2014-08-01,207.0
2014-09-01,207.0
2014-10-01,207.0
2014-11-01,207.0
2014-12-01,207.1
2015-01-01,208.2
2015-02-01,208.2
2015-03-01,208.2
2015-04-01,208.4
2015-05-01,208.4
2015-06-01,208.4
2015-07-01,208.4
2015-08-01,208.4
2015-09-01,208.4
2015-10-01,208.4
2015-11-01,208.4
2015-12-01,208.4
2016-01-01,214.8
2016-02-01,214.8
2016-03-01,215.0
2016-04-01,215.7
2016-05-01,215.7
2016-06-01,215.7
2016-07-01,215.7
2016-08-01,215.7
2016-09-01,215.7
2016-10-01,215.7
2016-11-01,215.7
2016-12-01,215.7
2017-01-01,217.4
2017-02-01,217.4
2017-03-01,217.2
2017-04-01,219.2
2017-05-01,219.2
2017-06-01,219.2
2017-07-01,219.2
2017-08-01,226.7
2017-09-01,248.0
2017-10-01,248.0
2017-11-01,248.0
2017-12-01,248.0
2018-01-01,230.9
2018-02-01,230.9
2018-03-01,240.5
2018-04-01,242.7
2018-05-01,245.0
2018-06-01,245.0
2018-07-01,245.1
2018-08-01,250.6
2018-09-01,250.6
2018-10-01,250.6
2018-11-01,250.6
2018-12-01,249.0
2019-01-01,250.7
2019-02-01,250.5
2019-03-01,252.4
2019-04-01,253.3
2019-05-01,256.5
2019-06-01,254.1
2019-07-01,253.4
2019-08-01,252.1
2019-09-01,253.4
2019-10-01,251.1
2019-11-01,251.9
2019-12-01,252.7
2020-01-01,252.9
2020-02-01,253.7
2020-03-01,257.2
2020-04-01,257.6
2020-05-01,263.3
2020-06-01,263.3
2020-07-01,261.4
2020-08-01,261.4
2020-09-01,263.3
2020-10-01,263.3
2020-11-01,263.3
2020-12-01,263.3
2021-01-01,263.5
2021-02-01,264.4
2021-03-01,264.3
2021-04-01,265.7
2021-05-01,269.0
2021-06-01,269.0
2021-07-01,271.816
2021-08-01,271.816
2021-09-01,271.816
2021-10-01,271.816
2021-11-01,278.675
2021-12-01,278.675
2022-01-01,293.546
2022-02-01,301.302
2022-03-01,301.302
2022-04-01,304.653
2022-05-01,304.653
2022-06-01,309.714
2022-07-01,309.714
2022-08-01,309.714
2022-09-01,310.892
2022-10-01,310.892
2022-11-01,310.892
2022-12-01,310.892
2023-01-01,331.353
2023-02-01,331.353
2023-03-01,333.027
2023-04-01,336.455
2023-05-01,336.455
2023-06-01,336.455
2023-07-01,336.455
2023-08-01,336.455
2023-09-01,336.455
2023-10-01,336.455
